"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type","Source"
"Journal Article","Omer Javed A,Li Y,Muffat J,Su KC,Cohen MA,Lungjangwa T,Aubourg P,Cheeseman IM,Jaenisch R","Microcephaly modeling of kinetochore mutation reveals a brain-specific phenotype","Cell Rep.","Cell reports","2018","25","2","368-382.e5","Elsevier BV","2018-10-09","2211-1247","","http://dx.doi.org/10.1016/j.celrep.2018.09.032;https://www.ncbi.nlm.nih.gov/pubmed/30304678;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6392048","10.1016/j.celrep.2018.09.032","30304678","PMC6392048","Most genes mutated in microcephaly patients are expressed ubiquitously, and yet the brain is the only major organ compromised in most patients. Why the phenotype remains brain specific is poorly understood. In this study, we used in vitro differentiation of human embryonic stem cells to monitor the effect of a point mutation in kinetochore null protein 1 (KNL1; CASC5), identified in microcephaly patients, during in vitro brain development. We found that neural progenitors bearing a patient mutation showed reduced KNL1 levels, aneuploidy, and an abrogated spindle assembly checkpoint. By contrast, no reduction of KNL1 levels or abnormalities was observed in fibroblasts and neural crest cells. We established that the KNL1 patient mutation generates an exonic splicing silencer site, which mainly affects neural progenitors because of their higher levels of splicing proteins. Our results provide insight into the brain-specific phenomenon, consistent with microcephaly being the only major phenotype of patients bearing KNL1 mutation.","CRISPR/Cas9; KNL1; human embryonic stem cells; kinetochore; microephaly; neural spheroids; splicing","http://creativecommons.org/licenses/by-nc-nd/4.0/","Université Paris-Saclay, ED 569, 5 Rue Jean-Baptiste Clément, 92290 Châtenay-Malabry, France; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Program in Developmental and Stem Cell Biology, The Hospital for Sick Children, 686 Bay Street, Toronto, ON M4G 0A4, Canada; Department of Molecular Genetics, University of Toronto, 1 King's College Circle, Toronto, ON M5S 1A8, Canada.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Molecular Genetics, University of Toronto, 1 King's College Circle, Toronto, ON M5S 1A8, Canada; Program in Neurosciences and Mental Health, The Hospital for Sick Children, 686 Bay Street, Toronto, ON M5G 0A4, Canada.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA.; Université Paris-Saclay, ED 569, 5 Rue Jean-Baptiste Clément, 92290 Châtenay-Malabry, France; INSERM U1169, CHU Bicêtre Paris Sud, Le Kremlin-Bicêtre, France.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, MIT, 31 Ames Street, Cambridge, MA 02139, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, MIT, 31 Ames Street, Cambridge, MA 02139, USA. Electronic address: jaenisch@wi.mit.edu.","en","Research Article",""
"Journal Article","Swartz SZ,McKay LS,Su KC,Bury L,Padeganeh A,Maddox PS,Knouse KA,Cheeseman IM","Quiescent cells actively replenish CENP-A nucleosomes to maintain centromere identity and proliferative potential","Dev. Cell","Developmental cell","2019","51","1","35-48.e7","Elsevier BV","2019-10-07","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2019.07.016;https://www.ncbi.nlm.nih.gov/pubmed/31422918;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6783363","10.1016/j.devcel.2019.07.016","31422918","PMC6783363","Centromeres provide a robust model for epigenetic inheritance as they are specified by sequence-independent mechanisms involving the histone H3-variant centromere protein A (CENP-A). Prevailing models indicate that the high intrinsic stability of CENP-A nucleosomes maintains centromere identity indefinitely. Here, we demonstrate that CENP-A is not stable at centromeres but is instead gradually and continuously incorporated in quiescent cells including G0-arrested tissue culture cells and prophase I-arrested oocytes. Quiescent CENP-A incorporation involves the canonical CENP-A deposition machinery but displays distinct requirements from cell cycle-dependent deposition. We demonstrate that Plk1 is required specifically for G1 CENP-A deposition, whereas transcription promotes CENP-A incorporation in quiescent oocytes. Preventing CENP-A deposition during quiescence results in significantly reduced CENP-A levels and perturbs chromosome segregation following the resumption of cell division. In contrast to quiescent cells, terminally differentiated cells fail to maintain CENP-A levels. Our work reveals that quiescent cells actively maintain centromere identity providing an indicator of proliferative potential.","cell division; centromere; epigenetics; kinetochore; meiosis; mitosis; oocyte; quiescence; terminal differentiation","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA.; Biology Department, UNC Chapel Hill, 120 South Road, Chapel Hill, NC 27599-3280, USA.; Whitehead Institute for Biomedical Research, 455 Main Street, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Bury L,Moodie B,Ly J,McKay LS,Miga KH,Cheeseman IM","Alpha-satellite RNA transcripts are repressed by centromere-nucleolus associations","Elife","eLife","2020","9","","","eLife Sciences Publications, Ltd","2020-11-11","2050-084X","","http://dx.doi.org/10.7554/eLife.59770;https://www.ncbi.nlm.nih.gov/pubmed/33174837;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7679138","10.7554/eLife.59770","33174837","PMC7679138","Although originally thought to be silent chromosomal regions, centromeres are instead actively transcribed. However, the behavior and contributions of centromere-derived RNAs have remained unclear. Here, we used single-molecule fluorescence in-situ hybridization (smFISH) to detect alpha-satellite RNA transcripts in intact human cells. We find that alpha-satellite RNA-smFISH foci levels vary across cell lines and over the cell cycle, but do not remain associated with centromeres, displaying localization consistent with other long non-coding RNAs. Alpha-satellite expression occurs through RNA polymerase II-dependent transcription, but does not require established centromere or cell division components. Instead, our work implicates centromere-nucleolar interactions as repressing alpha-satellite expression. The fraction of nucleolar-localized centromeres inversely correlates with alpha-satellite transcripts levels across cell lines and transcript levels increase substantially when the nucleolus is disrupted. The control of alpha-satellite transcripts by centromere-nucleolar contacts provides a mechanism to modulate centromere transcription and chromatin dynamics across diverse cell states and conditions.","alpha-satellite; cell biology; centromere; chromosomes; gene expression; human; kinetochore; mitosis; nucleolus; transcription","http://creativecommons.org/licenses/by/4.0/","Whitehead Institute for Biomedical Research, Cambridge, United States.; Whitehead Institute for Biomedical Research, Cambridge, United States.; Department of Biology, Massachusetts Institute of Technology, Cambridge, United States.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, Santa Cruz, United States.","en","Research Article",""
"Preprint Manuscript","Ly J,Xiang K,Su KC,Sissoko GB,Bartel DP,Cheeseman IM","Nuclear release of eIF1 globally increases stringency of start-codon selection to preserve mitotic arrest physiology","","","2024","","","","","2024-05-21","","","http://dx.doi.org/10.1101/2024.04.06.588385;https://www.ncbi.nlm.nih.gov/pubmed/38617206;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11014515","10.1101/2024.04.06.588385","","PMC11014515","Regulated start-codon selection has the potential to reshape the proteome through the differential production of uORFs, canonical proteins, and alternative translational isoforms. However, conditions under which start-codon selection is altered remain poorly defined. Here, using transcriptome-wide translation initiation site profiling, we reveal a global increase in the stringency of start-codon selection during mammalian mitosis. Low-efficiency initiation sites are preferentially repressed in mitosis, resulting in pervasive changes in the translation of thousands of start sites and their corresponding protein products. This increased stringency of start-codon selection during mitosis results from increased interactions between the key regulator of start-codon selection, eIF1, and the 40S ribosome. We find that increased eIF1-40S ribosome interactions during mitosis are mediated by the release of a nuclear pool of eIF1 upon nuclear envelope breakdown. Selectively depleting the nuclear pool of eIF1 eliminates the changes to translational stringency during mitosis, resulting in altered mitotic proteome composition. In addition, preventing mitotic translational rewiring results in substantially increased cell death and decreased mitotic slippage following treatment with anti-mitotic chemotherapeutics. Thus, cells globally control translation initiation stringency with critical roles during the mammalian cell cycle to preserve mitotic cell physiology.","","","","en","","bioRxivorg"
"Preprint Manuscript","Ly J,Blengini CS,Cady SL,Schindler K,Cheeseman IM","A conserved germline-specific Dsn1 alternative splice isoform supports oocyte and embryo development","","","2024","","","","","2024-04-18","","","http://dx.doi.org/10.1101/2024.04.17.589883;https://www.ncbi.nlm.nih.gov/pubmed/38659852;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11042369","10.1101/2024.04.17.589883","","PMC11042369","Alternative mRNA splicing can generate distinct protein isoforms to allow for the differential control of cell processes across cell types. However, alternative splice isoforms that differentially modulate distinct cell division programs have remained elusive. Here, we demonstrate that mammalian germ cells express an alternate mRNA splice isoform for the kinetochore component, DSN1, a subunit of the MIS12 complex that links the centromeres to spindle microtubules during chromosome segregation. This germline DSN1 isoform bypasses the requirement for Aurora kinase phosphorylation for its centromere localization due to the absence of a key regulatory region allowing DSN1 to display persistent centromere localization. Expression of the germline DSN1 isoform in somatic cells results in constitutive kinetochore localization, chromosome segregation errors, and growth defects, providing an explanation for its tight cell type-specific expression. Reciprocally, precisely eliminating expression of the germline DSN1 splice isoform in mouse models disrupts oocyte maturation and early embryonic divisions coupled with a reduction in fertility. Together, this work identifies a germline-specific splice isoform for a chromosome segregation component and implicates its role in mammalian fertility.","","","Whitehead Institute for Biomedical Research, Cambridge, United States.; Department of Biology, Massachusetts Institute of Technology, Cambridge, United States.; Department of Genetics, Rutgers University, Piscataway, New Jersey, United States.","en","","bioRxivorg"
"Journal Article","Ly J,Blengini CS,Cady SL,Schindler K,Cheeseman IM","A conserved germline-specific Dsn1 alternative splice isoform supports oocyte and embryo development","Curr. Biol.","Current biology: CB","2024","34","18","4307-4317.e6","Elsevier BV","2024-09-23","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2024.07.089;https://www.ncbi.nlm.nih.gov/pubmed/39178843;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11421959","10.1016/j.cub.2024.07.089","39178843","PMC11421959","The chromosome segregation and cell division programs associated with somatic mitosis and germline meiosis display dramatic differences such as kinetochore orientation, cohesin removal, or the presence of a gap phase.1,2,3,4,5,6 These changes in chromosome segregation require alterations to the established cell division machinery.5,6 It remains unclear what aspects of kinetochore function and its regulatory control differ between the mitotic and meiotic cell divisions to rewire these core processes. Alternative RNA splicing can generate distinct protein isoforms to allow for the differential control of cell processes across cell types. However, alternative splice isoforms that differentially modulate distinct cell division programs have remained elusive. Here, we demonstrate that mammalian germ cells express an alternative mRNA splice isoform for the kinetochore component, DSN1, a subunit of the MIS12 complex that links the centromeres to spindle microtubules during chromosome segregation. This germline DSN1 isoform bypasses the requirement for Aurora kinase phosphorylation for its centromere localization due to the absence of a key regulatory region allowing DSN1 to display persistent centromere localization. Expression of the germline DSN1 isoform in somatic cells results in constitutive kinetochore localization, chromosome segregation errors, and growth defects, providing an explanation for its tight cell-type-specific expression. Reciprocally, precisely eliminating expression of the germline-specific DSN1 splice isoform in mouse models disrupts oocyte maturation and early embryonic divisions coupled with a reduction in fertility. Together, this work identifies a germline-specific splice isoform for a chromosome segregation component and implicates its role in mammalian fertility.","alternative splicing; fertility; kinetochore; meiosis; mitosis","","Whitehead Institute for Biomedical Research, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Department of Genetics, Rutgers University, Piscataway, NJ 08854, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Ly J,Xiang K,Su KC,Sissoko GB,Bartel DP,Cheeseman IM","Nuclear release of eIF1 restricts start-codon selection during mitosis","Nature","Nature","2024","635","8038","490-498","Springer Science and Business Media LLC","2024-11","0028-0836","1476-4687","http://dx.doi.org/10.1038/s41586-024-08088-3;https://www.ncbi.nlm.nih.gov/pubmed/39443796;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11605796","10.1038/s41586-024-08088-3","39443796","PMC11605796","Regulated start-codon selection has the potential to reshape the proteome through the differential production of upstream open reading frames, canonical proteins, and alternative translational isoforms1-3. However, conditions under which start codon selection is altered remain poorly defined. Here, using transcriptome-wide translation-initiation-site profiling4, we reveal a global increase in the stringency of start-codon selection during mammalian mitosis. Low-efficiency initiation sites are preferentially repressed in mitosis, resulting in pervasive changes in the translation of thousands of start sites and their corresponding protein products. This enhanced stringency of start-codon selection during mitosis results from increased association between the 40S ribosome and the key regulator of start-codon selection, eIF1. We find that increased eIF1-40S ribosome interaction during mitosis is mediated by the release of a nuclear pool of eIF1 upon nuclear envelope breakdown. Selectively depleting the nuclear pool of eIF1 eliminates the change to translational stringency during mitosis, resulting in altered synthesis of thousands of protein isoforms. In addition, preventing mitotic translational rewiring results in substantially increased cell death and decreased mitotic slippage in cells that experience a mitotic delay induced by anti-mitotic chemotherapies. Thus, cells globally control stringency of translation initiation, which has critical roles during the mammalian cell cycle in preserving mitotic cell physiology.","","https://www.springernature.com/gp/researchers/text-and-data-mining","Whitehead Institute for Biomedical Research, Cambridge, MA, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA.; Howard Hughes Medical Institute, Cambridge, MA, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA, USA. icheese@wi.mit.edu.; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Welburn JP,Cheeseman IM","Toward a molecular structure of the eukaryotic kinetochore","Dev. Cell","Developmental cell","2008","15","5","645-655","Elsevier BV","2008-11","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2008.10.011;https://www.ncbi.nlm.nih.gov/pubmed/19000831","10.1016/j.devcel.2008.10.011","19000831","","Chromosome segregation in eukaryotes requires a large molecular assembly termed the kinetochore to attach chromosomes to spindle microtubules. Recent work has made substantial progress in defining the composition and activities of the kinetochore, but much remains to be learned about its macromolecular structure. This commentary discusses recent insights into structural features of the kinetochore, how these inform our understanding of its biological function, and the key challenges for the future.","","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research and Department of Biology, Massachusetts Institute of Technology, Nine Cambridge Center, Cambridge, MA 02142, USA. welburn@wi.mit.edu","en","Research Article",""
"Journal Article","Welburn JP,Grishchuk EL,Backer CB,Wilson-Kubalek EM,Yates 3rd JR,Cheeseman IM","The human kinetochore Ska1 complex facilitates microtubule depolymerization-coupled motility","Dev. Cell","Developmental cell","2009","16","3","374-385","Elsevier BV","2009-03","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2009.01.011;https://www.ncbi.nlm.nih.gov/pubmed/19289083;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2746561","10.1016/j.devcel.2009.01.011","19289083","PMC2746561","Mitotic chromosome segregation requires that kinetochores attach to microtubule polymers and harness microtubule dynamics to drive chromosome movement. In budding yeast, the Dam1 complex couples kinetochores with microtubule depolymerization. However, a metazoan homolog of the Dam1 complex has not been identified. To identify proteins that play a corresponding role at the vertebrate kinetochore-microtubule interface, we isolated a three subunit human Ska1 complex, including the previously uncharacterized protein Rama1 that localizes to the outer kinetochore and spindle microtubules. Depletion of Ska1 complex subunits severely compromises proper chromosome segregation. Reconstituted Ska1 complex possesses two separable biochemical activities: direct microtubule binding through the Ska1 subunit, and microtubule-stimulated oligomerization imparted by the Rama1 subunit. The full Ska1 complex forms assemblies on microtubules that can facilitate the processive movement of microspheres along depolymerizing microtubules. In total, these results demonstrate a critical role for the Ska1 complex in interacting with dynamic microtubules at the outer kinetochore.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research and Department of Biology, Massachusetts Institute of Technology, Suite 401, Nine Cambridge Center, Cambridge, MA 02142, USA.","en","Research Article",""
"Journal Article","Welburn JP,Vleugel M,Liu D,Yates 3rd JR,Lampson MA,Fukagawa T,Cheeseman IM","Aurora B phosphorylates spatially distinct targets to differentially regulate the kinetochore-microtubule interface","Mol. Cell","Molecular cell","2010","38","3","383-392","Elsevier BV","2010-05-14","1097-2765","1097-4164","http://dx.doi.org/10.1016/j.molcel.2010.02.034;https://www.ncbi.nlm.nih.gov/pubmed/20471944;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2873218","10.1016/j.molcel.2010.02.034","20471944","PMC2873218","Accurate chromosome segregation requires carefully regulated interactions between kinetochores and microtubules, but how plasticity is achieved to correct diverse attachment defects remains unclear. Here we demonstrate that Aurora B kinase phosphorylates three spatially distinct targets within the conserved outer kinetochore KNL1/Mis12 complex/Ndc80 complex (KMN) network, the key player in kinetochore-microtubule attachments. The combinatorial phosphorylation of the KMN network generates graded levels of microtubule-binding activity, with full phosphorylation severely compromising microtubule binding. Altering the phosphorylation state of each protein causes corresponding chromosome segregation defects. Importantly, the spatial distribution of these targets along the kinetochore axis leads to their differential phosphorylation in response to changes in tension and attachment state. In total, rather than generating exclusively binary changes in microtubule binding, our results suggest a mechanism for the tension-dependent fine-tuning of kinetochore-microtubule interactions.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.","en","Research Article",""
"Journal Article","Backer CB,Gutzman JH,Pearson CG,Cheeseman IM","CSAP localizes to polyglutamylated microtubules and promotes proper cilia function and zebrafish development","Mol. Biol. Cell","Molecular biology of the cell","2012","23","11","2122-2130","American Society for Cell Biology (ASCB)","2012-06","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E11-11-0931;https://www.ncbi.nlm.nih.gov/pubmed/22493317;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3364176","10.1091/mbc.E11-11-0931","22493317","PMC3364176","The diverse populations of microtubule polymers in cells are functionally distinguished by different posttranslational modifications, including polyglutamylation. Polyglutamylation is enriched on subsets of microtubules including those found in the centrioles, mitotic spindle, and cilia. However, whether this modification alters intrinsic microtubule dynamics or affects extrinsic associations with specific interacting partners remains to be determined. Here we identify the microtubule-binding protein centriole and spindle-associated protein (CSAP), which colocalizes with polyglutamylated tubulin to centrioles, spindle microtubules, and cilia in human tissue culture cells. Reducing tubulin polyglutamylation prevents CSAP localization to both spindle and cilia microtubules. In zebrafish, CSAP is required for normal brain development and proper left-right asymmetry, defects that are qualitatively similar to those reported previously for depletion of polyglutamylation-conjugating enzymes. We also find that CSAP is required for proper cilia beating. Our work supports a model in which polyglutamylation can target selected microtubule-associated proteins, such as CSAP, to microtubule subpopulations, providing specific functional capabilities to these populations.","","","Whitehead Institute for Biomedical Research and Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.","en","Research Article",""
"Journal Article","Schmidt JC,Arthanari H,Boeszoermenyi A,Dashkevich NM,Wilson-Kubalek EM,Monnier N,Markus M,Oberer M,Milligan RA,Bathe M,Wagner G,Grishchuk EL,Cheeseman IM","The kinetochore-bound Ska1 complex tracks depolymerizing microtubules and binds to curved protofilaments","Dev. Cell","Developmental cell","2012","23","5","968-980","Elsevier BV","2012-11-13","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2012.09.012;https://www.ncbi.nlm.nih.gov/pubmed/23085020;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3500403","10.1016/j.devcel.2012.09.012","23085020","PMC3500403","To ensure equal chromosome segregation during mitosis, the macromolecular kinetochore must remain attached to depolymerizing microtubules, which drive chromosome movements. How kinetochores associate with depolymerizing microtubules, which undergo dramatic structural changes forming curved protofilaments, has yet to be defined in vertebrates. Here, we demonstrate that the conserved kinetochore-localized Ska1 complex tracks with depolymerizing microtubule ends and associates with both the microtubule lattice and curved protofilaments. In contrast, the Ndc80 complex, a central player in the kinetochore-microtubule interface, binds only to the straight microtubule lattice and lacks tracking activity. We demonstrate that the Ska1 complex imparts its tracking capability to the Ndc80 complex. Finally, we present a structure of the Ska1 microtubule-binding domain that reveals its interaction with microtubules and its regulation by Aurora B. This work defines an integrated kinetochore-microtubule interface formed by the Ska1 and Ndc80 complexes that associates with depolymerizing microtubules, potentially by interacting with curved microtubule protofilaments.","","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Cambridge, MA 02142, USA.","en","Research Article",""
"Review","Rago F,Cheeseman IM","Review series: The functions and consequences of force at kinetochores","J. Cell Biol.","The journal of cell biology","2013","200","5","557-565","Rockefeller University Press","2013-03-04","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.201211113;https://www.ncbi.nlm.nih.gov/pubmed/23460675;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3587826","10.1083/jcb.201211113","23460675","PMC3587826","Chromosome segregation requires the generation of force at the kinetochore-the multiprotein structure that facilitates attachment of chromosomes to spindle microtubules. This force is required both to move chromosomes and to signal the formation of proper bioriented attachments. To understand the role of force in these processes, it is critical to define how force is generated at kinetochores, the contributions of this force to chromosome movement, and how the kinetochore is structured and organized to withstand and respond to force. Classical studies and recent work provide a framework to dissect the mechanisms, functions, and consequences of force at kinetochores.","","","Whitehead Institute for Biomedical Research, Massachusetts Institute of Technology, Cambridge, MA 0214, USA.","en","Review",""
"Journal Article","Gascoigne KE,Cheeseman IM","CDK-dependent phosphorylation and nuclear exclusion coordinately control kinetochore assembly state","J. Cell Biol.","The journal of cell biology","2013","201","1","23-32","Rockefeller University Press","2013-04-01","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.201301006;https://www.ncbi.nlm.nih.gov/pubmed/23530067;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613690","10.1083/jcb.201301006","23530067","PMC3613690","Accurate chromosome segregation requires assembly of the multiprotein kinetochore complex. Prior work has identified more than 100 different kinetochore components in human cells. However, little is known about the regulatory processes that specify their assembly upon mitotic entry and disassembly at mitotic exit. In this paper, we used a live-cell imaging-based assay to quantify kinetochore disassembly kinetics and systematically analyze the role of potential regulatory mechanisms in controlling kinetochore assembly state. We find that kinetochore assembly and disassembly was driven primarily by mitotic phosphorylation downstream of cyclin-dependent kinase (CDK). In addition, we demonstrate that nuclear exclusion of the Ndc80 complex helped restrict kinetochore formation to mitosis. Combining constitutive CDK-dependent phosphorylation of CENP-T and forced nuclear localization of the Ndc80 complex partially prevented kinetochore disassembly at mitotic exit and led to chromosome segregation defects in subsequent divisions. In total, we find that the coordinated temporal regulation of outer kinetochore assembly is essential for accurate cell division.","","","Whitehead Institute for Biomedical Research, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.","en","Research Article",""
"Journal Article","Kiyomitsu T,Cheeseman IM","Cortical dynein and asymmetric membrane elongation coordinately position the spindle in anaphase","Cell","Cell","2013","154","2","391-402","Elsevier BV","2013-07-18","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2013.06.010;https://www.ncbi.nlm.nih.gov/pubmed/23870127;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4177044","10.1016/j.cell.2013.06.010","23870127","PMC4177044","Mitotic spindle position defines the cell-cleavage site during cytokinesis. However, the mechanisms that control spindle positioning to generate equal-sized daughter cells remain poorly understood. Here, we demonstrate that two mechanisms act coordinately to center the spindle during anaphase in symmetrically dividing human cells. First, the spindle is positioned directly by the microtubule-based motor dynein, which we demonstrate is targeted to the cell cortex by two distinct pathways: a Gαi/LGN/NuMA-dependent pathway and a 4.1G/R and NuMA-dependent, anaphase-specific pathway. Second, we find that asymmetric plasma membrane elongation occurs in response to spindle mispositioning to alter the cellular boundaries relative to the spindle. Asymmetric membrane elongation is promoted by chromosome-derived Ran-GTP signals that locally reduce Anillin at the growing cell cortex. In asymmetrically elongating cells, dynein-dependent spindle anchoring at the stationary cell cortex ensures proper spindle positioning. Our results reveal the anaphase-specific spindle centering systems that achieve equal-sized cell division.","","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA. tomomi.kiyomitsu@gmail.com","en","Research Article",""
"Journal Article","McKinley KL,Cheeseman IM","Polo-like kinase 1 licenses CENP-A deposition at centromeres","Cell","Cell","2014","158","2","397-411","Elsevier BV","2014-07-17","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2014.06.016;https://www.ncbi.nlm.nih.gov/pubmed/25036634;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4192726","10.1016/j.cell.2014.06.016","25036634","PMC4192726","To ensure the stable transmission of the genome during vertebrate cell division, the mitotic spindle must attach to a single locus on each chromosome, termed the centromere. The fundamental requirement for faithful centromere inheritance is the controlled deposition of the centromere-specifying histone, CENP-A. However, the regulatory mechanisms that ensure the precise control of CENP-A deposition have proven elusive. Here, we identify polo-like kinase 1 (Plk1) as a centromere-localized regulator required to initiate CENP-A deposition in human cells. We demonstrate that faithful CENP-A deposition requires integrated signals from Plk1 and cyclin-dependent kinase (CDK), with Plk1 promoting the localization of the key CENP-A deposition factor, the Mis18 complex, and CDK inhibiting Mis18 complex assembly. By bypassing these regulated steps, we uncoupled CENP-A deposition from cell-cycle progression, resulting in mitotic defects. Thus, CENP-A deposition is controlled by a two-step regulatory paradigm comprised of Plk1 and CDK that is crucial for genomic integrity.","","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute and Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA.; Whitehead Institute and Department of Biology, MIT, Nine Cambridge Center, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Wilson-Kubalek EM,Cheeseman IM,Milligan RA","Structural comparison of the Caenorhabditis elegans and human Ndc80 complexes bound to microtubules reveals distinct binding behavior","Mol. Biol. Cell","Molecular biology of the cell","2016","27","8","1197-1203","American Society for Cell Biology (ASCB)","2016-04-15","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E15-12-0858;https://www.ncbi.nlm.nih.gov/pubmed/26941333;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4831874","10.1091/mbc.E15-12-0858","26941333","PMC4831874","During cell division, kinetochores must remain tethered to the plus ends of dynamic microtubule polymers. However, the molecular basis for robust kinetochore-microtubule interactions remains poorly understood. The conserved four-subunit Ndc80 complex plays an essential and direct role in generating dynamic kinetochore-microtubule attachments. Here we compare the binding of theCaenorhabditis elegansand human Ndc80 complexes to microtubules at high resolution using cryo-electron microscopy reconstructions. Despite the conserved roles of the Ndc80 complex in diverse organisms, we find that the attachment mode of these complexes for microtubules is distinct. The human Ndc80 complex binds every tubulin monomer along the microtubule protofilament, whereas theC. elegansNdc80 complex binds more tightly to β-tubulin. In addition, theC. elegansNdc80 complex tilts more toward the adjacent protofilament. These structural differences in the Ndc80 complex between different species may play significant roles in the nature of kinetochore-microtubule interactions.","","","Laboratory of Structure Cell Biology, Department of Integrative Structure and Computational Biology, Scripps Research Institute, La Jolla, CA 92037 kubalek@scripps.edu.; Whitehead Institute for Biomedical Research and Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142.; Laboratory of Structure Cell Biology, Department of Integrative Structure and Computational Biology, Scripps Research Institute, La Jolla, CA 92037.","en","Research Article",""
